question,document
Why don't I see the same FAQ records in my run as in the May 2026 video examples?,e2d595f23c
Can I still turn in the homework after the deadline if the submission form is open?,a9353fadfe
The deadline already passed but the form still works — does that mean I can submit now?,a9353fadfe
When does homework submission actually close: at the deadline or only when the form is shut down?,a9353fadfe
"If I missed the deadline, is it still okay to send the answers while the form is open?",a9353fadfe
Do late submissions count as long as the homework form hasn't been closed yet?,a9353fadfe
"Can I still submit a homework after the deadline if the form is open, or is it already closed?",cdc3b285e5
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework deadline — can I submit it late or not at all?,cdc3b285e5
"Will skipping a homework affect my certificate, or is only the Capstone required?",cdc3b285e5
"Do homework points matter for the certificate, or are they just for leaderboard ranking?",cdc3b285e5
"Will the name I enter for the certificate be visible to everyone online, or is it kept private?",651ba06b34
"Does the certificate name get shared with third parties, or is it only printed on my certificate?",651ba06b34
What name shows up on the public leaderboard — the certificate name or something else?,651ba06b34
"In Edit Course Profile, which field is for the leaderboard nickname and which one is for the certificate name?",651ba06b34
Can I use a random public nickname on the leaderboard but still have my real name on the certificate?,651ba06b34
Why don’t we use LangChain in this course from the start?,b7cdde6b25
What’s the reason for building RAG pieces manually instead of using a framework?,b7cdde6b25
Is LangChain avoided because the course wants us to learn the basics first?,b7cdde6b25
Wouldn’t it be faster to use LangChain for prompting and retrieval here?,b7cdde6b25
What do we gain by implementing indexing and evaluation ourselves before using tools like LangChain?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the error `OpenAI API Error: Insufficient credits` usually mean in OpenAI responses?,f5df151c59
I keep failing on `responses.create` with a credits error — is this because my OpenAI account has no balance?,f5df151c59
How do I fix the issue where OpenAI `responses.create` throws an insufficient credits message?,f5df151c59
"If `responses.create` gives an insufficient credits error, does that mean I need to add credits to my OpenAI account?",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
What should I do first to fix the 'insufficient_quota' error in my LLM Zoomcamp RAG notebook?,152af39a53
"After I add money to my OpenAI account, do I also need to change the model name in responses.create()?",152af39a53
"Could this error mean my API key is the problem, and should I generate a new one after enabling billing?",152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
"Do I need to spend a lot on the OpenAI API, or is it pretty cheap?",554d0eb78b
What’s the minimum I can add to my OpenAI API balance before using it for the course?,554d0eb78b
Is it true that OpenAI API usage in this course is only a few cents or even less?,554d0eb78b
How much money should I expect to spend on OpenAI API calls while doing the course?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the homework in this course, or can I use something free instead?",85384a18e5
"Is an OpenAI subscription required for the module 1 RAG assignments, or are there cheaper options I can use?",85384a18e5
"Can I complete the course tasks without paying for OpenAI, and where do I find the alternatives?",85384a18e5
"For the llm-zoomcamp homeworks, do I have to buy OpenAI API access, or is there a free or low-cost option?",85384a18e5
What should I use if I don't want to spend money on OpenAI API for this course?,85384a18e5
Why does the course prefer uv over pip and virtualenv for setup?,f81dea8f7e
"What makes uv better or easier than using separate Python tools like pip, virtualenv, and poetry?",f81dea8f7e
"Do I have to use uv in the course, or can I still use pip and virtualenv instead?",f81dea8f7e
"How does uv help with Python versions, environments, and dependency management in one place?",f81dea8f7e
Why is uv considered a faster and more convenient option for managing the course project?,f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY isn't found even though I added it to .env?,86d99bbf21
Do I need python-dotenv to read environment variables in the notebook?,86d99bbf21
Where should I call load_dotenv() before making the OpenAI client?,86d99bbf21
What exactly should the key name be in my .env file for OpenAI auth?,86d99bbf21
I installed the package but my key still doesn't show up in Jupyter — what am I missing?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from .env?,233dabe430
Do I need to use python-dotenv for environment variables in this course?,233dabe430
Should I add .env to .gitignore before putting my secret keys there?,233dabe430
How can I access keys from a .env file with os.getenv after loading it?,233dabe430
"Is it okay if I don’t use the exact model the homework suggests, or do I have to stick to it?",ee43413718
"Can I switch to something like Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model for the assignment?",ee43413718
"If I use a different LLM provider, do I need to change the code to match its API and tokenizer behavior?",ee43413718
"Does the homework require a paid LLM service, or is there a way to do it without spending money?",ee43413718
Where can I find a list of OpenAI API alternatives that work for this course?,ee43413718
How do I set up Gemini in the Module 1 notebook with the OpenAI-style endpoint?,0ae5c221b9
What do I need in my `.env` file to call Google Gemini from the course code?,0ae5c221b9
How do I create an OpenAI client for Gemini instead of using the usual OpenAI base URL?,0ae5c221b9
Which Gemini model name should I pass when I use the chat completions API in the notebook?,0ae5c221b9
Why does the notebook code need changes when switching from the Responses API to the chat completions style with Gemini?,0ae5c221b9
How do I get Pydantic-style structured output from Gemini if `responses.parse` isn’t there?,341f71f28c
What’s the way to use the OpenAI SDK with Gemini and still get parsed objects back?,341f71f28c
Can I call Gemini through the OpenAI-compatible endpoint and use `chat.completions.parse` instead of the Responses API?,341f71f28c
How should I define my Pydantic models when I want Gemini to return a list of FAQ questions and answers?,341f71f28c
What does the code look like for `client.chat.completions.parse` with `response_format` on Gemini?,341f71f28c
"How do I install Ollama on Mac, Windows, or Linux?",1d0b969028
What’s the easiest way to get Ollama set up and running locally?,1d0b969028
"After installing Ollama, how can I launch a model like llama3 from the terminal?",1d0b969028
How do I check if the Ollama server is actually running on my machine?,1d0b969028
How can I use Ollama from Python after I’ve installed the client?,1d0b969028
How do I fix a connection refused error when I try to prompt my Ollama RAG homework?,c6fc2d4d11
What should I do if Ollama keeps refusing the connection in the notebook?,c6fc2d4d11
Is there a command to restart the Ollama server after a connection refused issue?,c6fc2d4d11
"After stopping the notebook cell, do I need to run the Ollama server cell again?",c6fc2d4d11
"Why am I getting a connection refused error when working with Ollama in Module 1 RAG, and how can I recover?",c6fc2d4d11
Why does `tiktoken.encode()` give me a smaller token count than the OpenAI API for the same chat prompt?,bf0403d21b
"In `chat.completions.create()`, what extra tokens does OpenAI add around each message?",bf0403d21b
Where do the extra 2 tokens in OpenAI chat token counting come from?,bf0403d21b
"Can newlines, spaces, or weird Unicode characters change the token count I see from OpenAI?",bf0403d21b
"If my prompt text is 320 tokens, why might OpenAI report something like 327 instead?",bf0403d21b
How can I set my API key once so I don’t have to export it in every new terminal?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc and is easier to use across different shells?,8b2f5e9d04
What’s the setup for automatically loading OPENAI_API_KEY when I enter my project folder?,8b2f5e9d04
"Should I keep my .env file out of GitHub, and do I also need to ignore .envrc?",8b2f5e9d04
"If I’m using Python scripts or Codespaces, what’s the recommended way to handle secrets?",8b2f5e9d04
How do I decide on field weights in minsearch without just guessing?,87d4ea4e08
Is there a proper way to tune search field weights instead of trial and error?,87d4ea4e08
What’s the best way to compare different weighting settings in a search engine?,87d4ea4e08
Do I need a labeled dataset to figure out the right field weights for retrieval?,87d4ea4e08
Which metrics should I look at when testing different field weights for search?,87d4ea4e08
What are the main things I should clean up before using documents in a RAG pipeline?,649c280e6d
"Do I need to keep titles, dates, and section names when preparing data for retrieval?",649c280e6d
"Is JSON required for storing documents before chunking, or can I use another format?",649c280e6d
How should I chunk documents so the retrieved passages keep enough context?,649c280e6d
What kind of metadata is worth saving when I prepare source data for RAG?,649c280e6d
"In GitHub Codespaces, why does uv show a ""Failed to hardlink files"" warning — is something broken, or does the install still work?",acf8fa5356
"What does it mean when uv can't hardlink files between the cache and the environment, and should I worry about it?",acf8fa5356
How can I get rid of the uv hardlink warning in my current shell on Codespaces?,acf8fa5356
What do I need to add to my bash setup so uv always uses copy mode and stops showing that warning?,acf8fa5356
"When uv falls back from hardlinking to copying, is that just normal behavior in Codespaces?",acf8fa5356
"Why am I getting ""dotenv is not recognized"" and what package do I need to install?",0bed1f48da
How do I fix the error where dotenv isn’t available in my Python project?,0bed1f48da
What should I add if I want to use load_dotenv() in my code?,0bed1f48da
"Is python-dotenv the right dependency for loading environment variables, and how do I install it?",0bed1f48da
"After installing python-dotenv, what import should I use to load my .env file?",0bed1f48da
Can I do the RAG module on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for this course?",aa310de435
What tools do I need if I want to run the course on my laptop rather than in Codespaces?,aa310de435
"If I skip Codespaces and work locally, do I need to keep my setup reproducible somehow?",aa310de435
"Is it okay to use a local environment for the course as long as I can install Python, uv, Jupyter, and Docker?",aa310de435
"If I keep working in Codespaces but never commit, where does my code actually live?",610ccb23c0
What happens to my changes in Codespaces if the VM gets stopped or deleted and I didn’t push anything?,610ccb23c0
"Do I need to commit regularly in Codespaces, or is the saved Linux VM enough to keep my work safe?",610ccb23c0
"Is code in Codespaces automatically stored in GitHub, or only inside the Codespaces machine until I commit?",610ccb23c0
"If Codespaces disconnects later, will I lose uncommitted work even though it was saved in the VM?",610ccb23c0
Why does WSL2 say the model needs more memory than is available even though my PC has enough RAM?,f3dd94f323
How do I make WSL2 use more RAM for running a model that needs more system memory?,f3dd94f323
Where should I put the .wslconfig file to increase memory for WSL2 on Windows?,f3dd94f323
What should I write in .wslconfig if I want WSL2 to get 8GB of RAM?,f3dd94f323
"After changing WSL2 memory settings, do I need to restart anything to make the new RAM limit take effect?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never connects — what can I try first?",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?",830f3d2018
What should I do when my Codespace setup looks wiped after a restart or rebuild?,830f3d2018
"Does the code in /workspaces survive stopping and starting a Codespace, or can it disappear?",830f3d2018
"If Codespaces keeps acting flaky, is it better to switch to running the course locally?",830f3d2018
"Can I swap OpenAI for another LLM service in this course, or is it required to use OpenAI only?",c6ff9083c0
"If the default provider is blocked where I live, what are my options for still running the RAG exercises?",c6ff9083c0
"Do I need to change a lot of code if I want to use something like Groq, OpenRouter, or DeepSeek instead?",c6ff9083c0
Can I run the model on my own laptop or with Ollama/vLLM and still use the course notebooks?,c6ff9083c0
Is there a place in the course materials that lists good alternatives to OpenAI-compatible models and local setups?,c6ff9083c0
What can I do in my notebook so I don’t keep getting 429 errors from OpenAI when I loop over lots of docs?,8e21752415
How should I set up retries in the OpenAI Python client so temporary rate-limit hits don’t crash my run?,8e21752415
What’s the best way to keep my API usage low in a thread pool or process pool while working on the course?,8e21752415
Should I save embeddings and LLM outputs somewhere so rerunning the notebook doesn’t call the API again?,8e21752415
Is there a cheap or free model/provider I can use in the course instead of hitting OpenAI limits all the time?,8e21752415
"In agentic RAG, what exactly counts as a tool or function that the model can call?",c296ea5a21
"Do I need to worry about the difference between tools and functions, or are they basically the same here?",c296ea5a21
Can you give examples of when a model would use a tool instead of answering directly in agentic RAG?,c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
Why does agentic RAG let the model decide when to call a tool or function?,c296ea5a21
Are there any free models I can use that already support tool calling for development?,0d74a3616f
"Which Groq models can do tool use without paying, like DeepSeek R1 or Llama 4?",0d74a3616f
"Besides Groq, what other providers have function calling or tool support for agents?",0d74a3616f
"Do local Ollama models also work with tools, or is it only cloud models?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code because the tool schema or response format is different?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API with a Mistral or Groq model?,9e7b3f0c25
How should I read the model reply if I’m not using OpenAI but a different provider through the OpenAI client?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or should it work with Gemini and other providers too?",9e7b3f0c25
What’s the right way to switch my code from `response.output` to the older chat completions style for non-OpenAI models?,9e7b3f0c25
Do I need to change my tools schema when using `chat.completions` with providers that don’t support the Responses API?,9e7b3f0c25
How should I change my Azure OpenAI weather tool JSON to fix the missing tools[0].function error?,b9c7c6bb34
Why am I getting Error code 400 about tools[0].function when I try to use the weather tool in Azure OpenAI?,b9c7c6bb34
What does the get_weather_tool definition need to look like for Azure OpenAI to accept it?,b9c7c6bb34
Is there a correct function schema for get_weather that I should use instead of my current JSON?,b9c7c6bb34
How do I format the weather tool parameters so Azure OpenAI stops complaining about the function field?,b9c7c6bb34
Why do I get a 404 when I try to use toyaikit with Groq or some other non-OpenAI API?,0224d980b3
How can I switch to toyaikit chat completions instead of the Responses endpoint so it works with OpenAI-compatible providers?,0224d980b3
Is there an example of using toyaikit with Groq by just changing the base URL on the OpenAI client?,0224d980b3
How do I set up toyaikit with Anthropic and which runner/client should I use for Claude?,0224d980b3
"What’s the difference between runner.loop() and runner.run() in toyaikit, and which one should I use in code?",0224d980b3
Where do I actually get the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page with the questions too?",53f15299b6
Can you point me to the Module 1 homework instructions and cohort materials for 2026?,53f15299b6
"I can see the course platform, but where are the extra homework details or context listed?",53f15299b6
What’s the best place to check for Homework 1 links and instructions in llm-zoomcamp?,53f15299b6
"Why am I getting an empty list after filtering my query in the homework, and could it be because the data was indexed the wrong way?",83da208a64
"For HW Q3, do I need to create the index settings before loading the documents, or can I add them later?",83da208a64
My filtered search keeps returning nothing in Module 1 homework — is this usually caused by an indexing mistake?,83da208a64
What should I check first if my query filter in the homework gives an empty result set every time?,83da208a64
"Is the fix for the empty-list issue to define the index configuration before inserting the data, then run the filters again?",83da208a64
Why am I getting a 402 from OpenRouter when I call responses.create()?,cfb07a27d5
Do I need to set max_output_tokens manually for the Module 1 homework llm helper?,cfb07a27d5
How do I fix the OpenRouter 402 error in rag_helper.py?,cfb07a27d5
What should I pass in ToyAIKit OpenAIClient so my homework call doesn’t fail?,cfb07a27d5
"If 402 still happens, what settings in .env or my OpenRouter key should I check?",cfb07a27d5
"In the Module 1 homework, what does it actually mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
Should I build the search index with the split chunks or with the full documents in the homework?,b4300adeb1
"When the homework says to use the chunk index, do I need to fit the index on `chunks` rather than `documents`?",b4300adeb1
Why does the RAG pipeline need to retrieve chunks instead of sending the whole document to the prompt?,b4300adeb1
How does pointing RAG to the chunked index help reduce the amount of context passed to the model?,b4300adeb1
"For the Module 1 homework, do I need my answer to match one of the multiple-choice options exactly, or is the nearest one okay?",5e4ca64cb5
"If my numeric result is a little off from the homework choices, should I still pick the closest option?",5e4ca64cb5
What are the usual reasons my homework answer might not match the listed options exactly?,5e4ca64cb5
My answer is not the same as any option in the homework — should I check the dataset version or instructions again?,5e4ca64cb5
"In LLM Zoomcamp homework, how strict is the matching when the answer is a number and the options are close to each other?",5e4ca64cb5
"I’m confused by a homework task for Module 1 — where should I actually read the instructions first, the course page or GitHub?",7d3a2e3505
"For the 2026 cohort, what are the exact links for the Module 1 materials and homework instructions?",7d3a2e3505
Why does Module 1 homework sometimes seem different from the lesson — is it supposed to use another dataset or a different setup?,7d3a2e3505
"If I still don’t understand a homework question after checking the docs, what’s the best way to ask for help in Slack?",7d3a2e3505
"When asking about a tricky homework issue, should I send a screenshot or paste the code and command output as text?",7d3a2e3505
"How should I count tokens for the Module 1 homework if I’m using a different LLM provider, not OpenAI?",fe8fed31e6
Where do I look in the API response to get the token usage for the homework answer?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my provider’s response doesn’t include any token usage information?,fe8fed31e6
"For the multiple-choice token-count questions, do I need the exact number or just the closest answer?",fe8fed31e6
"Why is my homework link getting rejected with a 404 or 500, even though it works on my computer?",bcdb8740ce
Do I need to make my GitHub repo public for the homework checker to accept it?,bcdb8740ce
"Should I submit the repo URL with .git at the end, or just the normal GitHub link?",bcdb8740ce
How can I quickly check whether the homework submission URL is publicly reachable?,bcdb8740ce
My homework submission says the URL must return 200 — what are the usual things that break it?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we convert non-numerical data into numbers?",69430a79a8
How do embeddings keep the meaning and context of text when turning it into numerical values?,69430a79a8
Why should similar pieces of data produce similar vectors in an embedding model?,69430a79a8
How does the closeness of embedding values help with semantic similarity search?,69430a79a8
"What are the main ideas related to embeddings, like vector space model and dimensionality reduction?",69430a79a8
"How can I stop the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3 beta?",aa3f597424
What do I need to install to get rid of the sentence-transformers version warning in Module 2?,aa3f597424
"Is there a way to suppress the ""made on sentence transformers v3.0.0 bet"" warning without changing code?",aa3f597424
What version of sentence-transformers should I upgrade to for that model warning to disappear?,aa3f597424
Which pip command fixes the warning for multi-qa-mpnet-base-dot-v1 in vector search?,aa3f597424
Why did the lesson use .dot(...) for cosine similarity instead of normalizing first?,92cd22cada
Is dot product really the same as cosine similarity for the embeddings used in class?,92cd22cada
Why do we need to normalize vectors in the homework but not in the lecture example?,92cd22cada
"Do OpenAI embeddings already come normalized, so dot product is enough?",92cd22cada
"With TF-IDF + SVD embeddings, why can't I just use dot product directly for similarity?",92cd22cada
"For vector search in this module, should I index just the answer text, just the question, or both together?",5c4a8d2e60
"Does it make more sense to embed only the answer, or only the question, when building the vector index?",5c4a8d2e60
"If I concatenate the question and the answer before embedding, is that usually better than using one field only?",5c4a8d2e60
How do I decide which embedding setup gives the best results for my dataset?,5c4a8d2e60
"What should I measure to compare these vector search options — hit rate, MRR, or something else?",5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How do you calculate similarity between two documents using cosine similarity?,db78580409
Why is cosine similarity commonly used in text analysis or vector search?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
"What kinds of vectors are usually compared with cosine similarity, like word counts or TF-IDF?",db78580409
Why does cosine similarity turn into just a dot product once the embeddings are normalized?,95feb4e75b
How does normalizing vectors make cosine similarity ignore their magnitude?,95feb4e75b
Why can we use matrix multiplication to compare a query vector against all document embeddings?,95feb4e75b
What changes in cosine similarity when both the documents and the query are unit length?,95feb4e75b
How does this let vector search compute similarities more efficiently?,95feb4e75b
"For Module 2 vector search, do I have to make another GitHub repository, or can I just spin up a fresh codespace from the same repo?",1e829a8c6f
Why does the FAQ say to use a separate codespace for Module 2 instead of keeping everything in my Module 1 environment?,1e829a8c6f
"If I create a new codespace for the vector search module, will it be tied to my existing GitHub repo or a brand-new one?",1e829a8c6f
"What’s the reason for deleting or stopping the Module 2 codespace after I finish, and do I need to save my work somewhere first?",1e829a8c6f
"Can I just continue using the codespace from Module 1 for Module 2, or is it better to start a new one because of the heavier dependencies?",1e829a8c6f
Why does download.py get stuck at 0% when it tries to fetch model.onnx from HuggingFace?,29b69fbe0b
Is there a workaround if the HuggingFace download in download.py never moves past 0%?,29b69fbe0b
What should I do when download.py seems frozen while pulling model.onnx from the CDN?,29b69fbe0b
Can I manually download model.onnx instead of waiting for download.py to finish?,29b69fbe0b
"If I place model.onnx in the right folder myself, will download.py still try to download it again?",29b69fbe0b
"Why do the dot-product scores from the matrix version and the loop version of vector search come out a little different, even though they should be the same?",e889793af9
"If I calculate vector search scores with `X.dot(v_query)` and then with a Python for-loop, why doesn’t `np.allclose` always return true?",e889793af9
Is it normal for the BLAS-backed matrix calculation and the manual loop calculation to differ in the last decimals in vector search?,e889793af9
Why does the optimized `dot` approach not match the loop result exactly when I compare embeddings or query vectors?,e889793af9
"Should I worry if my vector search scores are not identical between `X.dot(v)` and the loop implementation, or is that just floating-point rounding?",e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
Could this error happen because my embeddings count doesn't match the number of chunks I split the document into?,1a7b27c4df
How should I generate embeddings from chunks so the embedding matrix has the same length as the chunk list?,1a7b27c4df
What is the right way to build `contents` from `chunks` before calling `encode_batch`?,1a7b27c4df
How can I check that `X` and `len(chunks)` are equal so I avoid this best-chunk indexing problem?,1a7b27c4df
"For Module 2 homework Q2, why is my cosine similarity not matching any answer choice even though my code seems fine?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embedding, or is there a different model I should load?",eaa17a9dc6
Could the wrong page field be causing Q2 to be off — should I embed the content text or something else?,eaa17a9dc6
"If I already have the query vector from Q1, what exactly should I compare it against in Q2?",eaa17a9dc6
"My cosine score is close but not exact for the homework — is that normal, and should I just choose the nearest option?",eaa17a9dc6
How do I set up the Gemini key for Kestra so the flows can use it?,3860e5fe8b
"Do I need both a normal Gemini API key and a SECRET_ version, or is one enough?",3860e5fe8b
What’s the right way to export OpenAI and Tavily keys before launching Kestra?,3860e5fe8b
Why do my Kestra flows fail to see the API keys even though I added them in my shell?,3860e5fe8b
"In a Kestra YAML flow, how should I reference the Gemini secret without exposing the key?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and what should I check first?",04440cab11
Do I need to set a different Gemini variable for the Copilot than the one used by the flows?,04440cab11
What’s the exact fix if the Copilot falls back to that canned refusal message after I start Kestra?,04440cab11
"How can I tell whether my Gemini key is missing, wrong, or just hitting the free quota?",04440cab11
Should I export both `GEMINI_API_KEY` and `SECRET_GEMINI_API_KEY` before running `docker compose up -d`?,04440cab11
Why does my Kestra flow say the Gemini key is missing even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could the base64 encoding be broken if I copied my API key with an extra space or newline?,c8ca21af33
"Do I need to restart Kestra after exporting the secret, or will it pick up the new env vars automatically?",c8ca21af33
"In a flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY inside secret(...) ?",c8ca21af33
"Is there a better way to load the keys, like using a .env file with docker compose?",c8ca21af33
Why can’t I just do this in a notebook instead of using Kestra for the workflow?,193612db63
What does an orchestrator like Kestra give you that a plain script or notebook doesn’t?,193612db63
"In this module, why is Kestra being used for AI stuff like copilots, RAG, and agents?",193612db63
"How does Kestra help with things like retries, monitoring, scheduling, and secrets in an AI pipeline?",193612db63
"Can I switch between OpenAI, Gemini, or Anthropic in a Kestra flow without rewriting the whole thing?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only needed in Module 3?",cce328db64
"For the capstone project, can I build the pipeline with Airflow, Prefect, Dagster, or even just plain Python?",cce328db64
"If I already know Airflow, is it still worth trying Kestra for the orchestration module?",cce328db64
Will a simple Python script or notebook be enough for the ingestion pipeline part of the project?,cce328db64
"Can Kestra AI flows work with providers like OpenAI, Gemini, or Anthropic without changing the flow?",cce328db64
"Does Kestra work only with Gemini, or can I plug in Groq, Ollama, or a local model too?",f442efe5b4
What AI providers are supported in Kestra besides Gemini?,f442efe5b4
"If I want to use a local model in Kestra, do I need a special setup or can I just swap providers?",f442efe5b4
What’s the easiest way to point Kestra at an OpenAI-compatible service like Groq or DeepSeek?,f442efe5b4
Why does the course use Gemini if Kestra can connect to other providers as well?,f442efe5b4
"Is there a way to build a Kestra flow without writing YAML by hand, or do I still need to code it?",bfe5502c30
What no-code options does Kestra have for making workflows if I don't want to edit YAML directly?,bfe5502c30
How does Kestra's form editor work compared with drag-and-drop tools like n8n?,bfe5502c30
